sample_delay_us,ch1_V
-24.496000,-0.1818361
-24.488000,-0.1818894
-24.480000,-0.1819427
-24.472000,-0.1818361
-24.464000,-0.1817827
-24.456000,-0.1817827
-24.448000,-0.1817827
-24.440000,-0.1817294
-24.432000,-0.1817827
-24.424000,-0.1816760
-24.416000,-0.1816227
-24.408000,-0.1817294
-24.400000,-0.1817827
-24.392000,-0.1817294
-24.384000,-0.1816760
-24.376000,-0.1817294
-24.368000,-0.1817827
-24.360000,-0.1817294
-24.352000,-0.1816760
-24.344000,-0.1817294
-24.336000,-0.1817294
-24.328000,-0.1817294
-24.320000,-0.1817827
-24.312000,-0.1817294
-24.304000,-0.1817294
-24.296000,-0.1817294
-24.288000,-0.1817827
-24.280000,-0.1817294
-24.272000,-0.1817827
-24.264000,-0.1817827
-24.256000,-0.1817294
-24.248000,-0.1817294
-24.240000,-0.1817294
-24.232000,-0.1816760
-24.224000,-0.1816760
-24.216000,-0.1816760
-24.208000,-0.1816227
-24.200000,-0.1816227
-24.192000,-0.1815694
-24.184000,-0.1816227
-24.176000,-0.1816760
-24.168000,-0.1817294
-24.160000,-0.1816760
-24.152000,-0.1815694
-24.144000,-0.1815694
-24.136000,-0.1815694
-24.128000,-0.1816227
-24.120000,-0.1816227
-24.112000,-0.1816760
-24.104000,-0.1816760
-24.096000,-0.1816227
-24.088000,-0.1816227
-24.080000,-0.1815160
-24.072000,-0.1816227
-24.064000,-0.1815694
-24.056000,-0.1815160
-24.048000,-0.1814627
-24.040000,-0.1815694
-24.032000,-0.1816227
-24.024000,-0.1815694
-24.016000,-0.1815694
-24.008000,-0.1815694
-24.000000,-0.1816227
-23.992000,-0.1816227
-23.984000,-0.1815694
-23.976000,-0.1815160
-23.968000,-0.1815694
-23.960000,-0.1816227
-23.952000,-0.1817294
-23.944000,-0.1815694
-23.936000,-0.1815694
-23.928000,-0.1815160
-23.920000,-0.1815160
-23.912000,-0.1815160
-23.904000,-0.1815694
-23.896000,-0.1815694
-23.888000,-0.1815694
-23.880000,-0.1815694
-23.872000,-0.1816227
