sample_delay_us,air_paired_mV,spanner_mV,air_earlier_mV
1.283000000000000007e+01,8.670290000000015596e+01,8.670290000000015596e+01,8.670289999999999964e+01
1.283999999999999986e+01,8.670290000000015596e+01,8.670290000000015596e+01,8.670289999999999964e+01
1.284999999999999964e+01,8.670290000000015596e+01,8.670290000000015596e+01,8.670289999999999964e+01
1.285999999999999943e+01,8.670290000000015596e+01,8.670290000000015596e+01,8.670289999999999964e+01
1.286999999999999922e+01,8.670290000000015596e+01,8.670290000000015596e+01,8.670289999999999964e+01
1.287999999999999901e+01,8.670290000000015596e+01,8.670290000000015596e+01,8.670289999999999964e+01
1.289000000000000057e+01,8.670290000000015596e+01,8.670290000000015596e+01,8.670289999999999964e+01
1.290000000000000036e+01,8.670290000000015596e+01,8.670290000000015596e+01,8.670289999999999964e+01
1.291000000000000014e+01,8.670290000000015596e+01,8.670290000000015596e+01,8.670289999999999964e+01
1.291999999999999993e+01,8.670290000000015596e+01,8.670290000000015596e+01,8.670289999999999964e+01
1.292999999999999972e+01,8.670290000000015596e+01,8.670290000000015596e+01,8.670289999999999964e+01
1.293999999999999950e+01,8.670290000000015596e+01,8.670290000000015596e+01,8.670289999999999964e+01
1.294999999999999929e+01,8.670290000000015596e+01,8.670290000000015596e+01,8.670289999999999964e+01
1.296000000000000085e+01,8.670290000000015596e+01,8.670290000000015596e+01,8.670289999999999964e+01
1.297000000000000064e+01,8.670290000000015596e+01,8.670290000000015596e+01,8.670289999999999964e+01
1.298000000000000043e+01,8.670290000000015596e+01,8.670290000000015596e+01,8.670289999999999964e+01
1.299000000000000021e+01,8.670290000000015596e+01,8.670290000000015596e+01,8.670289999999999964e+01
1.300000000000000000e+01,8.670290000000015596e+01,8.670290000000015596e+01,8.670289999999999964e+01
1.300999999999999979e+01,8.670290000000015596e+01,8.670290000000015596e+01,8.670289999999999964e+01
1.301999999999999957e+01,8.670290000000015596e+01,8.670290000000015596e+01,8.670289999999999964e+01
1.302999999999999936e+01,8.670290000000015596e+01,8.670290000000015596e+01,8.670289999999999964e+01
1.303999999999999915e+01,8.670290000000015596e+01,8.670290000000015596e+01,8.670289999999999964e+01
1.305000000000000071e+01,8.656306987951818144e+01,8.670290000000015596e+01,8.670289999999999964e+01
1.306000000000000050e+01,8.652194337349406794e+01,8.670290000000015596e+01,8.670289999999999964e+01
1.307000000000000028e+01,8.455609638554213348e+01,8.670290000000015596e+01,8.533749999999999147e+01
1.308000000000000007e+01,8.440804096385541300e+01,8.670290000000015596e+01,8.533749999999999147e+01
1.308999999999999986e+01,8.227768795180720929e+01,8.670290000000015596e+01,8.465479999999999450e+01
1.309999999999999964e+01,8.217898433734936248e+01,8.670290000000015596e+01,8.465479999999999450e+01
1.310999999999999943e+01,7.994170240963858021e+01,8.670290000000015596e+01,8.192399999999999238e+01
1.312000000000000099e+01,7.980187228915664832e+01,8.670290000000015596e+01,8.192399999999999238e+01
1.312999999999999901e+01,7.767974457831326163e+01,8.670290000000015596e+01,7.987590000000000146e+01
1.314000000000000057e+01,7.757281566265061201e+01,8.670290000000015596e+01,7.987590000000000146e+01
1.315000000000000036e+01,7.550826506024095863e+01,8.670290000000015596e+01,7.782779999999998211e+01
1.316000000000000014e+01,7.539311084337353464e+01,8.670290000000015596e+01,7.714509999999999934e+01
1.316999999999999993e+01,7.331210963855424723e+01,8.670290000000015596e+01,7.441429999999998302e+01
1.317999999999999972e+01,7.319695542168676639e+01,8.670290000000015596e+01,7.441429999999998302e+01
1.318999999999999950e+01,7.110772891566264775e+01,8.670290000000015596e+01,7.441429999999998302e+01
1.319999999999999929e+01,7.101725060240961795e+01,8.670290000000015596e+01,7.441429999999998302e+01
1.321000000000000085e+01,6.905140361445782560e+01,8.670290000000015596e+01,7.031810000000000116e+01
1.321999999999999886e+01,6.894447469879517598e+01,8.670290000000015596e+01,7.031810000000000116e+01
1.323000000000000043e+01,6.686347349397586015e+01,8.670290000000015596e+01,6.826999999999999602e+01
1.324000000000000021e+01,6.674831927710843615e+01,8.670290000000015596e+01,6.826999999999999602e+01
1.325000000000000000e+01,6.503745662650602810e+01,8.670290000000015596e+01,6.690459999999998786e+01
1.325999999999999979e+01,6.491407710843370182e+01,8.670290000000015596e+01,6.690459999999998786e+01
1.326999999999999957e+01,6.285775180722888678e+01,8.670290000000015596e+01,6.485649999999999693e+01
1.328000000000000114e+01,6.275082289156625137e+01,8.670290000000015596e+01,6.485649999999999693e+01
1.328999999999999915e+01,6.090013012048193985e+01,8.670290000000015596e+01,6.280839999999999890e+01
1.330000000000000071e+01,6.080965180722891716e+01,8.670290000000015596e+01,6.280839999999999890e+01
1.330999999999999872e+01,5.901653614457826080e+01,8.670290000000015596e+01,6.007759999999999678e+01
1.332000000000000028e+01,5.899186024096380265e+01,8.670290000000015596e+01,5.939489999999999270e+01
1.333000000000000007e+01,5.729744819277105705e+01,8.670290000000015596e+01,5.871219999999999573e+01
1.333999999999999986e+01,5.716584337349393508e+01,8.670290000000015596e+01,5.871219999999999573e+01
1.334999999999999964e+01,5.512596867469878248e+01,8.670290000000015596e+01,5.734679999999999467e+01
