sample_delay_us,air_mV
2.189999999999999858e+01,9.557800000000000296e+00
2.199999999999999645e+01,1.092319999999999958e+01
2.210000000000000142e+01,8.875099999999997991e+00
2.219999999999999929e+01,1.092319999999999958e+01
2.229999999999999716e+01,1.160589999999999833e+01
2.239999999999999858e+01,9.557800000000000296e+00
2.250000000000000000e+01,9.557800000000000296e+00
2.259999999999999787e+01,1.092319999999999958e+01
2.269999999999999574e+01,1.024049999999999905e+01
2.280000000000000071e+01,1.160589999999999833e+01
2.289999999999999858e+01,1.160589999999999833e+01
2.299999999999999645e+01,1.024049999999999905e+01
2.310000000000000142e+01,1.092319999999999958e+01
2.319999999999999929e+01,1.160589999999999833e+01
2.329999999999999716e+01,1.024049999999999905e+01
2.339999999999999858e+01,1.228859999999999886e+01
2.350000000000000000e+01,1.228859999999999886e+01
2.359999999999999787e+01,1.024049999999999905e+01
2.369999999999999574e+01,1.092319999999999958e+01
2.380000000000000071e+01,1.228859999999999886e+01
2.389999999999999858e+01,1.092319999999999958e+01
2.400000000000000000e+01,1.228859999999999886e+01
2.409999999999999787e+01,1.297129999999999939e+01
2.419999999999999929e+01,1.092319999999999958e+01
2.429999999999999716e+01,1.092319999999999958e+01
2.439999999999999858e+01,1.297129999999999939e+01
2.450000000000000000e+01,1.160589999999999833e+01
2.460000000000000142e+01,1.365399999999999991e+01
2.469999999999999574e+01,1.228859999999999886e+01
2.479999999999999716e+01,1.297129999999999939e+01
2.489999999999999858e+01,1.365399999999999991e+01
2.500000000000000000e+01,1.228859999999999886e+01
2.509999999999999787e+01,1.228859999999999886e+01
2.519999999999999574e+01,1.365399999999999991e+01
2.529999999999999716e+01,1.365399999999999991e+01
2.539999999999999858e+01,1.228859999999999886e+01
2.550000000000000000e+01,1.433669999999999867e+01
2.560000000000000142e+01,1.228859999999999886e+01
2.569999999999999929e+01,1.228859999999999886e+01
2.579999999999999716e+01,1.365399999999999991e+01
2.589999999999999858e+01,1.433669999999999867e+01
2.600000000000000000e+01,1.297129999999999939e+01
2.609999999999999787e+01,1.297129999999999939e+01
2.619999999999999574e+01,1.365399999999999991e+01
2.630000000000000071e+01,1.501939999999999920e+01
2.639999999999999858e+01,1.228859999999999886e+01
2.650000000000000000e+01,1.501939999999999920e+01
2.659999999999999787e+01,1.297129999999999939e+01
2.669999999999999929e+01,1.501939999999999920e+01
2.679999999999999716e+01,1.297129999999999939e+01
2.689999999999999858e+01,1.433669999999999867e+01
2.700000000000000000e+01,1.297129999999999939e+01
2.710000000000000142e+01,1.433669999999999867e+01
2.719999999999999574e+01,1.297129999999999939e+01
2.729999999999999716e+01,1.365399999999999991e+01
2.739999999999999858e+01,1.501939999999999920e+01
2.750000000000000000e+01,1.365399999999999991e+01
2.759999999999999787e+01,1.501939999999999920e+01
2.769999999999999574e+01,1.365399999999999991e+01
2.779999999999999716e+01,1.501939999999999920e+01
2.789999999999999858e+01,1.501939999999999920e+01
2.799999999999999645e+01,1.433669999999999867e+01
2.810000000000000142e+01,1.433669999999999867e+01
2.819999999999999929e+01,1.570209999999999972e+01
2.829999999999999716e+01,1.501939999999999920e+01
2.839999999999999858e+01,1.433669999999999867e+01
2.850000000000000000e+01,1.433669999999999867e+01
2.859999999999999787e+01,1.570209999999999972e+01
2.869999999999999574e+01,1.433669999999999867e+01
2.879999999999999716e+01,1.570209999999999972e+01
2.889999999999999858e+01,1.570209999999999972e+01
2.900000000000000000e+01,1.433669999999999867e+01
2.909999999999999432e+01,1.570209999999999972e+01
2.919999999999999929e+01,1.433669999999999867e+01
2.929999999999999716e+01,1.501939999999999920e+01
2.939999999999999858e+01,1.570209999999999972e+01
2.950000000000000000e+01,1.638479999999999848e+01
2.960000000000000142e+01,1.501939999999999920e+01
2.969999999999999574e+01,1.501939999999999920e+01
2.979999999999999716e+01,1.638479999999999848e+01
2.989999999999999858e+01,1.501939999999999920e+01
3.000000000000000000e+01,1.638479999999999848e+01
3.009999999999999787e+01,1.638479999999999848e+01
3.019999999999999929e+01,1.433669999999999867e+01
3.029999999999999716e+01,1.433669999999999867e+01
3.039999999999999858e+01,1.638479999999999848e+01
3.049999999999999645e+01,1.638479999999999848e+01
3.060000000000000142e+01,1.433669999999999867e+01
3.069999999999999929e+01,1.638479999999999848e+01
3.079999999999999716e+01,1.501939999999999920e+01
3.090000000000000213e+01,1.501939999999999920e+01
3.099999999999999645e+01,1.638479999999999848e+01
3.110000000000000142e+01,1.501939999999999920e+01
3.120000000000000284e+01,1.638479999999999848e+01
3.129999999999999716e+01,1.501939999999999920e+01
3.139999999999999858e+01,1.706749999999999901e+01
3.150000000000000355e+01,1.501939999999999920e+01
3.159999999999999787e+01,1.638479999999999848e+01
3.169999999999999929e+01,1.501939999999999920e+01
3.180000000000000426e+01,1.706749999999999901e+01
3.189999999999999858e+01,1.706749999999999901e+01
3.200000000000000000e+01,1.501939999999999920e+01
3.209999999999999432e+01,1.706749999999999901e+01
3.220000000000000284e+01,1.570209999999999972e+01
3.229999999999999716e+01,1.501939999999999920e+01
3.239999999999999858e+01,1.706749999999999901e+01
3.250000000000000000e+01,1.570209999999999972e+01
3.260000000000000142e+01,1.706749999999999901e+01
3.270000000000000284e+01,1.501939999999999920e+01
3.279999999999999716e+01,1.706749999999999901e+01
3.290000000000000568e+01,1.501939999999999920e+01
3.300000000000000000e+01,1.638479999999999848e+01
3.310000000000000142e+01,1.706749999999999901e+01
3.319999999999999574e+01,1.501939999999999920e+01
3.329999999999999716e+01,1.501939999999999920e+01
3.340000000000000568e+01,1.706749999999999901e+01
3.350000000000000000e+01,1.638479999999999848e+01
3.359999999999999432e+01,1.501939999999999920e+01
3.370000000000000284e+01,1.433669999999999867e+01
3.379999999999999716e+01,1.706749999999999901e+01
3.389999999999999858e+01,1.501939999999999920e+01
3.400000000000000000e+01,1.638479999999999848e+01
3.409999999999999432e+01,1.501939999999999920e+01
3.420000000000000284e+01,1.706749999999999901e+01
3.430000000000000426e+01,1.706749999999999901e+01
3.439999999999999858e+01,1.501939999999999920e+01
3.450000000000000000e+01,1.706749999999999901e+01
3.459999999999999432e+01,1.501939999999999920e+01
3.470000000000000284e+01,1.501939999999999920e+01
3.479999999999999716e+01,1.638479999999999848e+01
3.489999999999999858e+01,1.638479999999999848e+01
3.500000000000000000e+01,1.433669999999999867e+01
3.510000000000000142e+01,1.638479999999999848e+01
3.520000000000000284e+01,1.433669999999999867e+01
