fw_time_ms,wall_time_s,ch0_uV,ch1_uV,ch2_uV,ch3_uV,ch4_uV,ch5_uV,ch6_uV,ch7_uV,ch8_uV,ch9_uV,ch10_uV,ch11_uV,ch12_uV,ch13_uV,ch14_uV,ch15_uV,ch16_uV,ch17_uV,ch18_uV,ch19_uV,ch20_uV,ch21_uV,ch22_uV,ch23_uV,ch24_uV,ch25_uV,ch26_uV,ch27_uV,ch28_uV,ch29_uV,ch30_uV,ch31_uV,ch32_uV,ch33_uV,ch34_uV,ch35_uV,ch36_uV,ch37_uV,ch38_uV,ch39_uV,ch40_uV,ch41_uV,ch42_uV,ch43_uV,ch44_uV
1577803,1781937042.2854,4712295,4161148,3518047,3004894,2498760,2005157,1503696,999488,497341,4690590,4247169,3626632,2983093,2470569,1974983,1477489,982551,487003,4732532,4193878,3571186,3063449,2558689,1947460,1539268,967292,474929,4474277,4099350,3454322,2958927,2461090,1969795,1473178,982532,458030,4463405,4192638,3456936,2954959,2463913,1968593,1454391,976657,487041
1577910,1781937042.3928,4712276,4161129,3518028,3004913,2498779,2005157,1503715,999507,497379,4690819,4247074,3626613,2983074,2470588,1974964,1477508,982551,487041,4732570,4193973,3571224,3063411,2558670,1947403,1539287,967273,474929,4474354,4099350,3454361,2958946,2461090,1969795,1473217,982570,457992,4463386,4192600,3456955,2954979,2463894,1968612,1454372,976600,487041
1577993,1781937042.4752,4712257,4161167,3518009,3004951,2498741,2005138,1503772,999488,497436,4690513,4247055,3626670,2983055,2470550,1974906,1477451,982513,487079,4732780,4194011,3571186,3063449,2558670,1947364,1539325,967292,474929,4474640,4099350,3454399,2958908,2461128,1969833,1473178,982589,457992,4463310,4192543,3456859,2954959,2463855,1968631,1454429,976486,487022
1578091,1781937042.5732,4712295,4161090,3517933,3005008,2498779,2005119,1503753,999507,497398,4690799,4247093,3626747,2983074,2470531,1974964,1477508,982532,487060,4732532,4193973,3571205,3063430,2558632,1947364,1539363,967254,474967,4474640,4099350,3454380,2958870,2461166,1969757,1473140,982627,457992,4463215,4192562,3456821,2954979,2463855,1968631,1454429,976505,487022
1578203,1781937042.7026,4712372,4161071,3517971,3004970,2498722,2005062,1503810,999507,497360,4690933,4247131,3626709,2983131,2470512,1974983,1477470,982513,487079,4732609,4193954,3571205,3063373,2558632,1947383,1539382,967273,474948,4474716,4099388,3454399,2958850,2461147,1969795,1473102,982666,457973,4463176,4192485,3456764,2955017,2463817,1968631,1454429,976505,487041
1578325,1781937042.8079,4712372,4161110,3517952,3005027,2498703,2005100,1503791,999450,497379,4690590,4247207,3626690,2983131,2470626,1974945,1477508,982532,487060,4732742,4194011,3571167,3063430,2558708,1947422,1539363,967273,474929,4474869,4099445,3454475,2958946,2461147,1969757,1473121,982666,457973,4463386,4192428,3456726,2955017,2463817,1968593,1454372,976467,487060
1578428,1781937042.9100,4712353,4161052,3517856,3005085,2498607,2005100,1503830,999450,497360,4690399,4247265,3626709,2983169,2470646,1974945,1477470,982532,487041,4732761,4194049,3571167,3063392,2558708,1947403,1539382,967254,475006,4474869,4099426,3454475,2958850,2461166,1969757,1473121,982666,458011,4463386,4192428,3456726,2954979,2463836,1968555,1454353,976467,487060
1578522,1781937043.0045,4712333,4161148,3517780,3005027,2498588,2005138,1503849,999431,497379,4690189,4247265,3626728,2983188,2470626,1974926,1477527,982513,486984,4733162,4194030,3571205,3063469,2558765,1947441,1539440,967254,475025,4474830,4099464,3454475,2958908,2461109,1969757,1473140,982646,458030,4463424,4192447,3456630,2954998,2463874,1968536,1454391,976409,487041
1578622,1781937043.1049,4712295,4161090,3517780,3005027,2498569,2005062,1503906,999431,497398,4690056,4247284,3626709,2983131,2470684,1974906,1477527,982551,487041,4733066,4193992,3571224,3063411,2558765,1947422,1539459,967235,475025,4474849,4099426,3454456,2958831,2461128,1969795,1473159,982646,458030,4463463,4192371,3456611,2954959,2463951,1968498,1454391,976409,487079
1578720,1781937043.2050,4712353,4161110,3517837,3005027,2498607,2005081,1503925,999412,497436,4690037,4247284,3626709,2983131,2470722,1974887,1477546,982589,487060,4732990,4194011,3571205,3063392,2558746,1947422,1539497,967292,475025,4474811,4099426,3454475,2958850,2461071,1969795,1473178,982646,458049,4463482,4192333,3456573,2954998,2464008,1968460,1454391,976467,487060
