fw_time_ms,wall_time_s,ch0_uV,ch1_uV,ch2_uV,ch3_uV,ch4_uV,ch5_uV,ch6_uV,ch7_uV,ch8_uV,ch9_uV,ch10_uV,ch11_uV,ch12_uV,ch13_uV,ch14_uV,ch15_uV,ch16_uV,ch17_uV,ch18_uV,ch19_uV,ch20_uV,ch21_uV,ch22_uV,ch23_uV,ch24_uV,ch25_uV,ch26_uV,ch27_uV,ch28_uV,ch29_uV,ch30_uV,ch31_uV,ch32_uV,ch33_uV,ch34_uV,ch35_uV,ch36_uV,ch37_uV,ch38_uV,ch39_uV,ch40_uV,ch41_uV,ch42_uV,ch43_uV,ch44_uV
1582813,1781937047.2948,4711990,4161071,3517627,3004665,2498779,2005100,1503734,999698,497417,4693546,4247226,3626194,2982597,2470569,1974639,1477241,982399,486793,4732475,4193916,3570709,3062954,2558841,1947460,1538906,967140,474967,4474563,4098968,3453655,2958393,2460422,1969280,1472740,982494,457916,4462890,4191494,3455886,2954216,2463016,1967868,1453533,976371,486736
1582906,1781937047.3890,4712066,4161052,3517646,3004665,2498836,2005081,1503696,999679,497398,4693622,4247303,3626117,2982502,2470531,1974639,1477317,982379,486793,4732513,4193878,3570575,3062896,2558841,1947517,1538944,967121,474948,4474220,4098911,3453636,2958469,2460403,1969242,1472759,982494,457935,4462795,4191494,3455867,2954235,2462978,1967811,1453609,976371,486774
1583005,1781937047.4877,4712009,4161033,3517646,3004608,2498893,2005100,1503753,999660,497417,4693203,4247284,3626175,2982502,2470474,1974601,1477356,982360,486812,4732551,4193821,3570480,3062858,2558841,1947479,1538963,967121,474929,4474144,4099006,3453636,2958488,2460422,1969261,1472759,982456,457973,4462833,4191532,3455829,2954177,2463035,1967792,1453647,976409,486774
1583092,1781937047.5740,4711952,4160976,3517532,3004608,2498817,2005081,1503753,999622,497493,4692955,4247169,3626136,2982483,2470493,1974620,1477336,982379,486812,4732437,4193763,3570404,3062935,2558899,1947479,1538925,967140,474948,4474144,4099102,3453636,2958450,2460403,1969261,1472721,982437,457954,4462890,4191494,3455848,2954197,2463016,1967735,1453666,976429,486774
1583187,1781937047.6696,4711990,4160957,3517494,3004589,2498817,2005062,1503772,999603,497474,4693165,4247188,3626155,2982502,2470455,1974716,1477317,982360,486850,4732685,4193782,3570423,3062935,2558937,1947460,1538868,967159,474967,4474182,4099102,3453617,2958507,2460289,1969242,1472702,982494,457935,4462795,4191455,3455867,2954216,2463035,1967659,1453609,976429,486793
1583287,1781937047.7696,4711933,4160900,3517608,3004589,2498855,2005062,1503696,999603,497531,4693184,4247150,3626136,2982502,2470398,1974773,1477260,982341,486831,4732704,4193763,3570385,3063011,2558841,1947403,1538887,967140,474948,4474144,4099083,3453560,2958450,2460308,1969223,1472663,982494,457897,4462833,4191417,3455906,2954197,2462997,1967678,1453628,976390,486793
1583363,1781937047.8448,4711895,4160919,3517627,3004589,2498817,2005024,1503677,999622,497512,4692974,4247188,3626117,2982502,2470379,1974792,1477317,982341,486869,4732609,4193649,3570423,3063030,2558841,1947422,1538868,967102,474891,4474125,4099083,3453579,2958431,2460289,1969261,1472721,982475,457839,4462814,4191436,3455867,2954120,2462959,1967601,1453590,976409,486774
1583458,1781937047.9416,4711933,4160900,3517627,3004570,2498893,2005043,1503658,999565,497493,4692535,4247074,3626060,2982559,2470340,1974849,1477298,982303,486907,4732570,4193592,3570404,3062935,2558860,1947364,1538906,967102,474967,4474125,4099140,3453502,2958355,2460289,1969299,1472797,982456,457839,4462833,4191455,3455906,2954082,2462940,1967659,1453609,976371,486755
1583543,1781937048.0253,4711952,4160957,3517608,3004608,2498912,2005043,1503639,999603,497474,4692402,4247074,3625984,2982597,2470302,1974830,1477298,982322,486888,4732322,4193611,3570423,3062915,2558822,1947383,1538906,967121,474967,4474201,4099083,3453521,2958393,2460270,1969299,1472797,982532,457801,4462814,4191379,3455944,2954044,2462997,1967620,1453571,976371,486793
1583643,1781937048.1251,4711990,4161033,3517570,3004570,2498836,2005100,1503601,999584,497417,4692707,4247074,3626022,2982559,2470359,1974792,1477317,982322,486869,4732361,4193611,3570366,3062877,2558803,1947250,1538925,967083,474910,4474201,4099063,3453521,2958316,2460270,1969242,1472797,982513,457763,4462833,4191379,3455925,2954006,2462959,1967563,1453590,976371,486793
1583733,1781937048.2150,4712028,4161014,3517589,3004608,2498817,2005100,1503582,999603,497417,4692802,4247074,3626003,2982540,2470436,1974830,1477279,982303,486869,4732246,4193534,3570385,3062896,2558765,1947212,1538944,967083,474891,4474392,4099044,3453502,2958316,2460231,1969223,1472778,982532,457782,4462795,4191341,3455906,2953968,2462921,1967563,1453590,976352,486774
1583826,1781937048.3269,4711990,4160938,3517551,3004703,2498817,2005157,1503524,999584,497417,4692993,4247131,3626060,2982483,2470398,1974811,1477279,982322,486869,4732113,4193344,3570308,3062858,2558727,1947174,1538963,967025,474891,4474411,4098949,3453483,2958316,2460231,1969299,1472702,982456,457839,4462814,4191265,3455944,2953949,2462959,1967487,1453552,976333,486736
1583938,1781937048.4202,4712009,4160938,3517532,3004684,2498817,2005157,1503524,999546,497455,4692554,4247055,3626079,2982444,2470436,1974792,1477241,982341,486869,4732151,4193325,3570385,3062877,2558689,1947212,1538982,967044,474910,4474487,4098854,3453502,2958374,2460250,1969394,1472721,982494,457878,4462833,4191246,3455944,2953930,2462978,1967506,1453571,976295,486755
1584043,1781937048.5249,4712009,4160938,3517475,3004703,2498798,2005157,1503505,999488,497474,4692096,4246998,3626003,2982483,2470493,1974906,1477222,982341,486888,4732189,4193344,3570423,3062935,2558670,1947212,1539001,967102,474910,4474563,4098777,3453426,2958374,2460270,1969394,1472740,982494,457859,4462814,4191265,3455963,2953930,2462921,1967563,1453628,976238,486812
1584148,1781937048.6311,4712009,4160919,3517494,3004741,2498798,2005176,1503582,999527,497417,4691734,4246998,3626079,2982463,2470436,1974964,1477222,982322,486907,4732170,4193439,3570499,3062915,2558689,1947269,1539001,967159,474929,4474601,4098739,3453388,2958393,2460327,1969394,1472721,982513,457801,4462871,4191246,3455925,2953910,2462940,1967582,1453590,976238,486793
1584238,1781937048.7204,4711971,4160900,3517513,3004703,2498741,2005195,1503505,999546,497417,4691601,4246998,3626136,2982502,2470436,1974945,1477184,982303,486907,4731960,4193439,3570423,3062935,2558746,1947250,1538982,967178,474910,4474601,4098720,3453445,2958450,2460308,1969413,1472740,982513,457782,4462852,4191150,3455944,2953968,2462940,1967601,1453590,976238,486831
1584333,1781937048.8161,4711971,4160957,3517532,3004741,2498760,2005195,1503467,999488,497417,4691181,4246998,3626175,2982463,2470417,1974964,1477241,982341,486831,4731807,4193344,3570366,3062915,2558689,1947250,1538982,967178,474891,4474449,4098663,3453445,2958412,2460308,1969375,1472740,982494,457839,4462776,4191112,3455925,2954006,2462864,1967639,1453552,976257,486850
1584418,1781937048.9011,4711933,4160919,3517589,3004799,2498836,2005233,1503372,999469,497417,4690971,4246998,3626117,2982406,2470417,1974945,1477241,982379,486869,4731731,4193287,3570385,3062877,2558612,1947231,1538963,967216,474872,4474296,4098529,3453426,2958336,2460250,1969299,1472740,982513,457859,4462795,4191055,3455886,2954006,2462883,1967563,1453571,976238,486869
1584524,1781937049.0066,4711895,4160881,3517608,3004837,2498817,2005233,1503353,999412,497417,4691066,4246979,3626098,2982502,2470417,1974945,1477260,982399,486812,4731598,4193267,3570404,3062935,2558670,1947231,1538925,967178,474891,4474182,4098510,3453426,2958316,2460212,1969204,1472721,982513,457820,4462852,4190979,3455829,2954006,2462864,1967601,1453590,976200,486927
1584614,1781937049.0961,4711933,4160881,3517570,3004818,2498817,2005252,1503410,999412,497417,4690685,4246940,3626117,2982521,2470379,1974906,1477279,982399,486774,4731598,4193325,3570404,3062992,2558708,1947231,1538925,967197,474929,4473991,4098491,3453426,2958336,2460212,1969261,1472778,982532,457801,4462871,4190960,3455848,2953949,2462730,1967563,1453647,976200,486927
1584711,1781937049.1929,4711838,4160862,3517570,3004818,2498836,2005195,1503410,999393,497417,4690895,4246921,3626155,2982502,2470321,1974964,1477260,982399,486812,4731617,4193344,3570404,3063011,2558708,1947231,1538982,967159,474967,4473743,4098510,3453464,2958240,2460193,1969223,1472778,982532,457725,4462852,4190940,3455867,2953930,2462673,1967601,1453590,976181,486888
1584817,1781937049.2991,4711799,4160881,3517665,3004760,2498874,2005176,1503467,999450,497417,4690914,4246940,3626117,2982406,2470340,1975021,1477241,982341,486812,4731407,4193248,3570366,3062935,2558574,1947212,1538982,967121,474967,4473781,4098472,3453502,2958183,2460212,1969204,1472816,982532,457706,4462604,4190979,3455810,2953891,2462616,1967582,1453552,976123,486888
1584917,1781937049.4002,4711723,4160900,3517646,3004875,2498817,2005176,1503391,999488,497398,4691486,4247055,3626136,2982406,2470302,1974964,1477222,982322,486831,4731407,4193172,3570327,3062973,2558574,1947135,1538982,967121,474948,4473858,4098396,3453483,2958068,2460117,1969184,1472797,982494,457706,4462471,4190960,3455734,2953796,2462558,1967563,1453437,976142,486793
1585001,1781937049.5002,4711780,4160881,3517608,3004894,2498760,2005195,1503448,999546,497398,4691601,4247150,3626155,2982330,2470283,1974906,1477241,982379,486888,4731331,4193115,3570346,3062992,2558555,1947097,1538906,967140,474967,4473896,4098339,3453445,2957992,2460060,1969204,1472797,982494,457706,4462490,4190883,3455772,2953834,2462482,1967544,1453418,976142,486793
1585127,1781937049.6102,4711780,4160823,3517589,3004856,2498722,2005119,1503448,999507,497398,4691562,4247150,3626213,2982216,2470264,1974830,1477260,982379,486907,4731273,4193172,3570289,3062973,2558612,1947097,1538925,967159,474967,4473762,4098415,3453464,2958011,2460098,1969184,1472778,982475,457706,4462452,4190788,3455734,2953777,2462444,1967544,1453418,976181,486812
1585249,1781937049.7332,4711742,4160843,3517646,3004837,2498703,2005062,1503429,999527,497436,4690971,4247055,3626232,2982196,2470283,1974830,1477222,982399,486907,4731369,4193172,3570308,3063011,2558651,1947040,1538944,967159,474967,4473629,4098358,3453445,2958011,2460079,1969165,1472740,982456,457687,4462394,4190750,3455619,2953662,2462463,1967487,1453342,976200,486793
1585342,1781937049.8244,4711704,4160823,3517646,3004837,2498664,2005043,1503429,999527,497455,4690132,4246959,3626213,2982216,2470321,1974849,1477241,982360,486888,4731350,4193172,3570289,3063049,2558574,1947021,1538944,967121,474967,4473591,4098243,3453350,2957916,2460117,1969242,1472702,982379,457687,4462337,4190693,3455581,2953662,2462444,1967468,1453304,976181,486774
1585434,1781937049.9172,4711685,4160881,3517665,3004951,2498664,2005004,1503448,999546,497436,4689998,4246807,3626213,2982292,2470340,1974868,1477203,982379,486907,4731292,4193191,3570270,3063068,2558574,1946983,1538906,967140,474929,4473686,4098320,3453407,2957897,2460003,1969165,1472663,982399,457668,4462375,4190673,3455600,2953624,2462387,1967430,1453228,976104,486736
1585549,1781937050.0313,4711723,4160919,3517608,3004913,2498684,2004985,1503448,999565,497417,4690151,4246769,3626251,2982273,2470340,1974906,1477260,982379,486927,4731216,4193096,3570232,3063125,2558536,1947021,1538848,967102,474891,4473610,4098167,3453312,2957840,2459926,1969204,1472644,982418,457668,4462433,4190731,3455581,2953586,2462387,1967449,1453189,976028,486755
1585643,1781937050.1254,4711685,4160862,3517665,3004932,2498741,2004985,1503505,999507,497398,4690208,4246711,3626289,2982292,2470379,1974906,1477184,982456,486927,4731216,4193134,3570213,3063106,2558593,1947116,1538848,967140,474872,4473476,4098148,3453254,2957916,2459888,1969223,1472644,982379,457668,4462375,4190769,3455600,2953548,2462291,1967392,1453208,975914,486698
1585747,1781937050.2286,4711704,4160862,3517627,3004913,2498703,2005004,1503486,999527,497417,4690208,4246731,3626232,2982292,2470379,1974906,1477165,982418,486927,4731235,4193115,3570213,3063087,2558593,1947155,1538829,967178,474872,4473400,4098053,3453197,2957878,2459869,1969204,1472644,982322,457668,4462356,4190769,3455600,2953586,2462291,1967334,1453170,975894,486679
1585834,1781937050.3165,4711761,4160881,3517665,3004989,2498798,2004928,1503467,999507,497360,4690647,4246769,3626289,2982273,2470379,1974926,1477146,982379,486927,4731159,4193134,3570194,3063087,2558574,1947155,1538772,967216,474910,4473400,4098091,3453140,2957840,2459831,1969108,1472587,982341,457611,4462280,4190635,3455581,2953453,2462234,1967296,1453151,975875,486679
1585924,1781937050.4058,4711742,4160823,3517704,3005046,2498760,2004928,1503429,999507,497360,4690971,4246692,3626251,2982254,2470398,1974868,1477108,982379,486927,4731083,4193153,3570194,3063087,2558460,1947174,1538696,967197,474891,4473285,4098053,3453159,2957725,2459755,1969070,1472530,982265,457592,4462394,4190731,3455524,2953453,2462158,1967239,1453113,975933,486660
1586011,1781937050.4935,4711838,4160843,3517685,3005008,2498664,2004909,1503429,999507,497360,4690761,4246692,3626251,2982292,2470359,1974926,1477031,982418,486907,4731064,4193153,3570270,3063125,2558460,1947155,1538677,967235,474910,4473743,4098072,3453159,2957649,2459735,1969070,1472492,982227,457572,4462490,4190750,3455467,2953434,2462101,1967220,1452999,975875,486660
1586096,1781937050.5777,4711952,4160804,3517646,3005046,2498703,2004909,1503448,999488,497360,4691276,4246788,3626194,2982311,2470359,1974964,1476974,982360,486850,4731121,4193210,3570327,3063125,2558479,1947155,1538677,967197,474948,4473972,4098034,3453216,2957668,2459735,1969013,1472435,982246,457553,4462471,4190693,3455448,2953472,2461986,1967163,1452961,975818,486679
1586195,1781937050.6952,4711876,4160804,3517723,3005027,2498684,2004909,1503448,999488,497283,4691276,4246845,3626155,2982273,2470398,1974964,1477031,982341,486850,4731102,4193229,3570366,3062992,2558441,1947174,1538677,967216,474967,4473839,4097900,3453197,2957687,2459678,1969032,1472435,982246,457534,4462452,4190693,3455410,2953453,2461986,1967163,1452922,975799,486679
1586323,1781937050.8052,4711895,4160785,3517723,3005085,2498703,2004928,1503391,999488,497303,4691524,4246883,3626155,2982292,2470436,1974926,1477050,982379,486831,4730911,4193229,3570385,3062992,2558422,1947212,1538772,967197,474910,4473762,4097805,3453197,2957592,2459735,1968994,1472454,982246,457553,4462547,4190712,3455371,2953472,2461986,1967182,1452980,975780,486679
1586413,1781937050.8954,4711933,4160843,3517685,3005066,2498664,2004890,1503410,999527,497264,4690952,4246864,3626175,2982330,2470474,1974887,1477146,982399,486850,4730968,4193306,3570442,3062992,2558498,1947231,1538772,967197,474929,4473419,4097862,3453197,2957592,2459697,1969032,1472530,982246,457572,4462452,4190693,3455352,2953472,2462043,1967201,1452922,975818,486679
1586514,1781937050.9958,4711990,4160823,3517608,3005180,2498664,2004890,1503372,999546,497283,4691086,4246845,3626155,2982330,2470455,1974945,1477108,982418,486812,4731273,4193401,3570366,3062992,2558441,1947155,1538734,967273,474910,4472866,4097976,3453178,2957553,2459621,1968994,1472473,982284,457611,4462509,4190673,3455314,2953491,2462062,1967201,1452922,975780,486679
1586605,1781937051.0870,4711933,4160823,3517627,3005161,2498664,2004890,1503372,999565,497264,4691276,4246845,3626136,2982292,2470455,1974887,1477069,982418,486812,4731445,4193401,3570327,3062992,2558403,1947212,1538715,967254,474853,4472809,4097881,3453140,2957553,2459640,1969013,1472473,982303,457630,4462471,4190616,3455314,2953491,2462101,1967125,1452884,975799,486679
1586697,1781937051.1794,4711914,4160804,3517646,3005123,2498645,2004871,1503353,999527,497264,4690933,4246807,3626175,2982349,2470455,1974906,1477050,982437,486812,4731617,4193363,3570327,3063049,2558384,1947135,1538734,967330,474853,4472599,4097862,3453159,2957534,2459659,1968975,1472473,982265,457630,4462452,4190693,3455200,2953491,2462043,1967144,1452922,975742,486660
